Plant_ID,Date,TDS Value (ppm),pH Level
1,8/3/23,582,6.4
1,8/4/23,451,6.1
1,8/5/23,678,6.4
1,8/6/23,420,6.4
1,8/7/23,637,6.5
1,8/8/23,478,6.8
1,8/9/23,682,6
1,8/10/23,576,6.3
1,8/11/23,662,6.1
1,8/12/23,607,6.2
1,8/13/23,670,6.5
1,8/14/23,535,6.4
1,8/15/23,480,6
1,8/16/23,688,6.4
1,8/17/23,653,6.6
1,8/18/23,742,6.1
1,8/19/23,580,6.2
1,8/20/23,789,6.5
1,8/21/23,516,6
1,8/22/23,527,6.4
1,8/23/23,669,6.2
1,8/24/23,645,6.6
1,8/25/23,744,6.8
1,8/26/23,719,6.4
1,8/27/23,589,6.7
1,8/28/23,654,6.4
1,8/29/23,451,6.4
1,8/30/23,623,6.6
1,8/31/23,680,6.7
1,9/1/23,601,6.4
1,9/2/23,603,6.7
1,9/3/23,762,6.7
1,9/4/23,517,6
1,9/5/23,743,6.6
1,9/6/23,709,6
1,9/7/23,416,6.2
1,9/8/23,577,6.3
1,9/9/23,621,6.5
1,9/10/23,478,6
1,9/11/23,672,6.3
1,9/12/23,576,6.7
1,9/13/23,726,6.1
1,9/14/23,636,6.8
1,9/15/23,688,6.6
1,9/16/23,637,6.2
2,8/3/23,586,6.1
2,8/4/23,433,6.8
2,8/5/23,749,6.7
2,8/6/23,680,6.8
2,8/7/23,488,6.4
2,8/8/23,697,6.3
2,8/9/23,624,6.6
2,8/10/23,593,6.5
2,8/11/23,564,6.1
2,8/12/23,416,6.6
2,8/13/23,664,6.4
2,8/14/23,746,6.8
2,8/15/23,646,6.3
2,8/16/23,413,6.5
2,8/17/23,487,6.7
2,8/18/23,564,6.2
2,8/19/23,430,6.5
2,8/20/23,527,6.2
2,8/21/23,704,6.3
2,8/22/23,732,6.3
2,8/23/23,420,6.5
2,8/24/23,608,6.3
2,8/25/23,687,6.3
2,8/26/23,529,6.2
2,8/27/23,427,6.3
2,8/28/23,780,6.4
2,8/29/23,508,6.2
2,8/30/23,603,6.6
2,8/31/23,581,6.7
2,9/1/23,622,6.4
2,9/2/23,598,6.5
2,9/3/23,597,6.2
2,9/4/23,498,6
2,9/5/23,569,6.4
2,9/6/23,697,6.3
2,9/7/23,627,6.6
2,9/8/23,537,6.6
2,9/9/23,785,6.3
2,9/10/23,428,6.7
2,9/11/23,797,6.8
2,9/12/23,657,6.8
2,9/13/23,473,6.6
2,9/14/23,689,6.3
2,9/15/23,681,6.3
2,9/16/23,719,6.7
3,8/3/23,667,6.2
3,8/4/23,632,6.1
3,8/5/23,636,6.7
3,8/6/23,525,6.6
3,8/7/23,735,6
3,8/8/23,794,6.4
3,8/9/23,691,6.2
3,8/10/23,783,6.6
3,8/11/23,531,6.7
3,8/12/23,473,6.4
3,8/13/23,745,6.1
3,8/14/23,569,6.3
3,8/15/23,743,6.3
3,8/16/23,566,6.1
3,8/17/23,671,6.6
3,8/18/23,643,6.4
3,8/19/23,682,6.6
3,8/20/23,467,6.3
3,8/21/23,714,6.7
3,8/22/23,726,6.6
3,8/23/23,780,6.1
3,8/24/23,545,6.4
3,8/25/23,630,6.6
3,8/26/23,491,6.4
3,8/27/23,661,6.7
3,8/28/23,535,6.1
3,8/29/23,629,6.6
3,8/30/23,738,6.6
3,8/31/23,758,6.2
3,9/1/23,799,6.3
3,9/2/23,577,6.2
3,9/3/23,439,6.3
3,9/4/23,516,6.5
3,9/5/23,741,6.8
3,9/6/23,492,6
3,9/7/23,762,6.2
3,9/8/23,525,6
3,9/9/23,428,6.5
3,9/10/23,794,6.3
3,9/11/23,460,6.7
3,9/12/23,403,6.6
3,9/13/23,480,6.7
3,9/14/23,747,6.1
3,9/15/23,479,6.7
3,9/16/23,691,6.7
3,9/17/23,517,6.4
3,9/18/23,549,6.6
4,8/3/23,547,6.7
4,8/4/23,609,6.7
4,8/5/23,794,6.3
4,8/6/23,562,6
4,8/7/23,726,6.1
4,8/8/23,442,6.7
4,8/9/23,598,6.4
4,8/10/23,549,6.5
4,8/11/23,785,6.7
4,8/12/23,762,6.3
4,8/13/23,419,6.1
4,8/14/23,525,6.2
4,8/15/23,608,6.7
4,8/16/23,458,6.3
4,8/17/23,571,6
4,8/18/23,747,6.7
4,8/19/23,518,6.7
4,8/20/23,490,6.3
4,8/21/23,502,6.7
4,8/22/23,631,6.1
4,8/23/23,735,6.4
